Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
Nolan Arenado,24.9,576,6,1,0,ST-LOUIS,2023
Willson Contreras,26.7,400,35,4,0,ST-LOUIS,2023
Lars Nootbaar,27.8,234,62,4,4,ST-LOUIS,2023
Luken Baker,24.7,587,4,0,0,ST-LOUIS,2023
José Fermín,28.0,208,66,1,0,ST-LOUIS,2023
Nolan Gorman,26.5,438,29,1,1,ST-LOUIS,2023
Iván Herrera,26.7,403,34,3,0,ST-LOUIS,2023
Alec Burleson,25.6,538,12,4,0,ST-LOUIS,2023
Brendan Donovan,27.1,347,44,3,1,ST-LOUIS,2023
Jordan Walker,28.5,122,80,3,2,ST-LOUIS,2023
Masyn Winn,29.2,47,93,5,5,ST-LOUIS,2023
Yandy Díaz,26.6,418,32,3,0,TAMPA-BAY,2023
Brandon Lowe,27.3,306,50,3,1,TAMPA-BAY,2023
Jonathan Aranda,26.1,489,20,0,1,TAMPA-BAY,2023
Josh Lowe,28.7,92,85,6,2,TAMPA-BAY,2023
Taylor Walls,28.2,167,73,11,6,TAMPA-BAY,2023
Curtis Mead,26.7,412,33,4,1,TAMPA-BAY,2023
Junior Caminero,28.6,108,83,5,1,TAMPA-BAY,2023
Marcus Semien,28.7,99,84,7,1,TEXAS,2023
Corey Seager,26.2,472,23,1,0,TEXAS,2023
Jonah Heim,25.8,522,15,3,0,TEXAS,2023
Leody Taveras,29.1,53,92,6,1,TEXAS,2023
Adolis García,27.3,308,50,9,3,TEXAS,2023
Josh Smith,28.5,127,79,9,3,TEXAS,2023
Josh Jung,26.8,392,36,4,1,TEXAS,2023
Ezequiel Duran,29.1,56,91,4,0,TEXAS,2023
Evan Carter,29.6,22,97,12,1,TEXAS,2023
George Springer,27.8,240,61,11,0,TORONTO,2023
Tyler Heineman,25.7,535,13,2,0,TORONTO,2023
Daulton Varsho,28.1,184,70,1,0,TORONTO,2023
Nathan Lukes,27.4,293,52,1,2,TORONTO,2023
Vladimir Guerrero Jr.,26.4,447,27,5,2,TORONTO,2023
Bo Bichette,27.1,353,43,4,3,TORONTO,2023
Alejandro Kirk,23.7,602,2,0,0,TORONTO,2023
Ernie Clement,28.4,146,76,3,3,TORONTO,2023
Davis Schneider,27.4,296,52,0,1,TORONTO,2023
Bryce Harper,27.6,280,55,9,0,PHILADELPHIA,2023
Nick Castellanos,27.2,336,45,3,0,PHILADELPHIA,2023
J.T. Realmuto,28.6,104,83,5,2,PHILADELPHIA,2023
Trea Turner,30.3,4,100,24,6,PHILADELPHIA,2023
Edmundo Sosa,29.2,43,93,0,0,PHILADELPHIA,2023
Weston Wilson,27.2,339,45,0,0,PHILADELPHIA,2023
Kyle Schwarber,25.0,574,7,9,2,PHILADELPHIA,2023
Alec Bohm,26.6,417,32,2,0,PHILADELPHIA,2023
Kody Clemens,27.5,282,54,0,0,PHILADELPHIA,2023
Brandon Marsh,28.6,114,82,5,1,PHILADELPHIA,2023
Johan Rojas,29.5,24,96,12,2,PHILADELPHIA,2023
Bryson Stott,28.8,76,88,14,3,PHILADELPHIA,2023
DJ LeMahieu,25.7,536,13,0,0,NY-YANKEES,2023
Giancarlo Stanton,24.4,591,4,0,0,NY-YANKEES,2023
Aaron Judge,26.7,406,34,6,3,NY-YANKEES,2023
Oswaldo Cabrera,27.8,227,63,0,1,NY-YANKEES,2023
Austin Wells,26.7,404,34,3,1,NY-YANKEES,2023
Oswald Peraza,28.7,95,85,1,0,NY-YANKEES,2023
Anthony Volpe,28.4,133,79,10,7,NY-YANKEES,2023
Jasson Domínguez,28.3,147,76,14,2,NY-YANKEES,2023
Mike Trout,28.9,63,90,2,0,LA-ANGELS,2024
Taylor Ward,26.8,404,33,2,1,LA-ANGELS,2024
Luis Rengifo,26.9,380,37,2,6,LA-ANGELS,2024
Jo Adell,28.8,83,86,3,0,LA-ANGELS,2024
Gustavo Campero,28.3,142,77,1,0,LA-ANGELS,2024
Kyren Paris,28.9,66,89,7,1,LA-ANGELS,2024
Logan O'Hoppe,28.1,178,71,1,1,LA-ANGELS,2024
Zach Neto,28.2,163,73,17,7,LA-ANGELS,2024
Niko Kavadas,26.0,494,19,0,0,LA-ANGELS,2024
Nolan Schanuel,26.4,459,24,4,1,LA-ANGELS,2024
